Barkodi,Emri i Produktit
5201314108788,Vaj p‰r nxirje intensive 125 ml
5201314103264,Carroten after sun 200ml
5201314086079,Qum‰sht spraj p‰r kujdesin nga dielli me spf50 200 ml
5201314086055,Qum‰sht p‰r kujdesin nga dielli me spf30 200 ml
8693357331976,Got‰ akullore 2 cop‰ÿ
8693357277274,Got‰ akullore 2 cop‰ÿ
8693357277250,Got‰ akullore 2 cop‰ÿ
5010993324613,Loder Play-Doh Disney Princess
8693357148833,Kane uji 4 l
8693357270688,Mbajtese karamelesh
8693357192669,Tave qelqi 2 cope
8693357146303,Tave qelqi 34 x 19 cm
8693357192409,Tenxhere qelqi me kapak
8693357192386,Tave qelqi me kapak
8693357328051,Gota uji 6 cope
8693357192904,Tave qelqi 2 cope
KELLEFTEK,Kellef dysheku &amp;jasteku tek
6986579100706,Lexical hekur rrobash 2200 w
8007403078096,Imetec grires 450w
8007403077068,Imetec grires 500w
3045386376711,"Fritez tefal 1,2 l"
LULEMEDIUM,Spathiphyllium medium lule
LULECRASULA,Lule Crasula
8712919000225,Llak per lule
4009737030058,Ushqyes per lule
8679988009439,Vazo qeramike
8679988009279,Vazo 14*400
4002477278728,Vazo 920/16 mix
4002477278711,Vazo sceurich
8679988009156,Vazo qeramike 3 cope
8679988009590,Vazo qeramike 3 cope
5310311003672,Xhezve Elektrike Max
5310311003689,Grir‰se Max KL-210
8007403071950,Imetec mulli i vogel per kafe
8007403073046,Imetec grires 350w
6986579140207,Ibrik elektrik 2200w
4008146386107,Preres universal Iskra
8007403072612,Imetec grires 500w
3830042565215,Grir‰se perimesh Iskra 300 w
6971184581286,"Grirese ushqimi Sonifer ( mishi, perime etj) 1.8 l"
4006387080839,Brita filter uji 3.5 l
4006387075064,Brita universal filter
4008146080203,Mashe flokesh severin me ajer te nxehte 400w
6986579520207,Set tharese flokesh dhe modelimi  6 in 1 1000w
8007403111441,Bellissima piaster
6986579500605,Lexical tharese flokesh 2000w
5301000288616,Diva zbardhues blu 2.5 l
9001378500667,Kove ovale 15 litra
5304000204556,Shtupe optimal
8679988034875,Lopate plehrash me bisht + fshes
8679988034592,Fshese pa bisht tebi
8679988015195,Bisht fshese 130 cm
9001378700098,Sfungjer enesh 3/1
8690536922833,Bingo floral 500 gr
RC400,Recipeta
6954919033038,Recipeta
6954919075236,Recipeta gigotto
RC270,Recipeta 38|85
6939354420100,Recipeta 40 90 b
8411712764647,Bormioli pjate 22 x 16 cm
8411712766047,Bormioli pjate 22 x 14 cm
8411712238124,Bormioli pjate 20 cm
8411712766085,Pjate per embelsire 21 cm
8411712218805,Bormioli tas sallate 23 cm
8411712558802,Bormioli tas insalatiera 25 cm 9.5&#8243;
8411712248802,"Bormioli tas sallate 24 cm, 9&#8243;"
8411712238797,"Bormioli tas 23 cm, 9&#8243;"
8411712766061,Pjate Bormioli 1 cope
8411712757083,Bormioli tas 6&#8243; 15.3 cm
8411712558826,Bormioli tas 5.5? 14 cm
8411712238865,Bormioli tas 5.5&#8243; 14 cm
8411712238827,"Bormioli tas 5&#8243;, 12,5 cm"
8679988014273,Tas rrethor 10&#8243;
8679988032147,Pjate katrore per mish 9.5&#8243;
8679988014990,Pjate rrethore 8&#8243;
8679988032048,Tas rrethor 8&#8243;
8679988014952,Tas rrethor 5&#8242;
8679988031942,Tas rrethor 9&#8243;
8679988014891,Tas rrethor 8&#8243;
8679988014396,Tas katror 8&#8243;
8679988032062,Tas rrethor 7&#8243;
8679988031928,Tas katror 6&#8243;
8697853092539,Tas sapphire 200cc
8680534832135,Mbajtese erezash 550cc
8697853094465,Mbajtese ushqimi sapphire 4 lt
8697853094243,Kane me gota
8697853093673,Mbajtese lugesh Karina
8697853093284,Mbajtese lugesh l33
8697480580706,Tuffex mbajtese pjatash
8606006860741,Mbajtese kafeje 4 cope
8606009600764,Kuti cerealesh 1.2 lt
6926353088325,Mbajtese lugesh plastike
8606006860505,Tas me vija 24 cm
8697853093659,Shtrydhese sallate 4.5 lt
8697853094410,Tas sapphire 4 lt
8606009600788,Kuti cerealesh 2.4 lt
8606009600818,Mbajtese torte / ushqimesh pikniku 10 kg
8606009600474,Hit box 10 lt
8697853091495,Mbajtese ushqimi Luna me dy ndarje
8697853093932,Mbajtese ushqimi 3 vende me kapak
8697853093758,Mbajtese ushqimi smart
8679988017533,Ene plastike  me fileto 3 cope
8697853093406,Mbajtese ushqimi Bellisima katrore 1.5 lt
8697853095240,Mbajtese ushqimi Color 2300 ml katrore
8697853095431,Mbajtese ushqimi katrore 3750 ml
8697853095509,Mbajtese ushqimi drejtkendore 2800 ml
8697853095103,Mbajtese ushqimi katrore 2400 ml
8697853095172,Mbajtese ushqimi 2300 ml
8697853095097,Tas gomine 1.5 lt
8697853095165,Mbajtese ushqimi 1400 ml
8697853095011,Mbajtese ushqimi 800 ml
8697853095141,Mbajtese ushqimi 400 ml
8697853095073,Tas gomine 500 ml
8697853095004,Mbajtese ushqimi 400 ml
8697853099088,Mbajtese ushqimi me dy ndarje Bager
8691014150007,Piknik mini tas plastik
8606005431812,Frigo kuti 0.5 lt
5202410060512,Wasabi paste per sushi 43 gr
5205257011556,Provil worcestershire sauce 740 ml
8858701403574,Tinsels sweet chili sauce 700 ml
8858701403659,Teriyaki sauce 700 ml
8715035130104,Kikkoman soy sauce less salt 150 ml
5202410073680,Sushi ginger gari 1.5 kg
8850310000137,Tempura miell per sushi 150 gr
5301000215520,Oriz per sushi 500 gr
8001655010972,Pasini oriz per sushi 500 gr
5949058700485,Yalco set tenxheresh 7 cope
8697414827402,Set tenxheresh Anett 9 cope
8680465023893,Hascevher astoria tenxhere 5 lt
5999056782914,Berlinger Haus tigan me kapak 24 cm
8679988033410,Tigan zgare artmartin 26*26 cm + doreza Amercook
8679988033373,Tigan Artmartin 26 cm + doreza Amercook
8595028490664,Tescoma tigan i thelle jongjites 16cm
8595028490565,Tescoma tigan jongjites 26 cm
267383,Tigan Dupree 3 cope 18/20/24 cm
8015506037827,Tigan silk&amp;induction 16 cm
8015506037735,Tigan granit 28 cm
8015506037728,Tigan granit 26 cm
8679988033533,Tigan amercook 28 cm
5999056762909,"Berlinger haus, granit diamond tigan 28 cm"
5999056782945,Berlinger haus tigan grill 28 cm+ mbrojtesen
5999056781771,"Berlinger haus tigan 2 cope 22, 26 cm"
5999056781764,"Tigan i thelle me kapak, Berlinger haus 24 cm"
6924691392227,Jlo Tigan me kapak 22 cm
5999056764613,Berlinger Haus tigan 28 cm
8680465060621,Tigan graniti Hascevher Stoneco 24&#215;4.5 cm
8680465056174,Tigan graniti  Hascevher Stoneco 18 cm
8680465009149,Hascevher Germanitium tigan 24 cm
8679988033557,Tigan I thelle amercook 26cm
8692952078736,Tas i vogel 6 cope
8692952072703,Gote lav 6 cope
8692952065118,Aras gota uji 6 cope
8692952095177,Lav gota uji 6 cope
8593410913562,Colibri gota shampanje 6 cope
8593410998682,Colibri beer 380 ml 6 cope
8593410999580,Anse gote vere e bardhe 6 cope
8008429239409,La suissa cuore rosa 150 gr
6015861539303,Prerese veze metalike 2 cope
8606106703504,Spatula
8679988020045,Pirun embelsire italian rostfrei
8679988031263,Pirun i madh Gioninox 3 cope
8679988030822,Set thikash
8679988016437,Shtrydhese perimesh per pure
6951873372234,Thike granit
8679988028485,Cekic shine
8679988019629,Hapese vere
8076800376999,Barilla lasagne me veze 500 gr
8679988020823,Rende slim
8679988013757,Kullese me bisht
8679988008753,Rrahese vezesh 14&#8221;
6935107626560,Forma keku metalike
2000000186047,Forma keku
8697853092249,Forme keku capsule
8697853093857,Forme amarete  rrethore e madhe BG
8697436929962,New city forma keku mini
8697853093529,Forme amareti 6 cope
8697853093536,Forme keku Elipse BG 53 cope
6194008640017,Palma hurma tunizie 200 gr
5304000141165,Suxhuk vakum kazazi me kg
5304000141202,Kazazi salcice 350 gr
5304000141219,Kazazi sallam popullor 350 gr
5304000141387,Kazazi kremvice e tymosur 380 gr
5304000141318,Kazazi parizier vici 395 gr
10243,Parizier pule arani me kg
8679988030327,Luge gjelle gioninox
8679988006148,Kapese sallate
8679988013733,Spatul metalike
8679988020786,Hapese konserve
8679988019841,Lug caji 6 cope
8697436923335,New city pastruese perimesh
8002460038861,Element kuzhine silikoni 2 cope
5999108402876,Tostier
5999108409615,Coffee maker Berlinger Haus 2 cups
8679988030723,Coffee maker Berlinger Haus 6 cups
5999108405143,Ibrik Berlinger Haus 3 l
5999056785847,Tigan per pancake Berlinger Haus 25 cm
8679988033335,Tigan zgare grill 28 cm
5999056766471,Tigan Metallic Line Burgundy 24 cm
8679988030082,Tigan non stick 24 cm
8680465079395,Tenxhere Hascevher 26*13 cm
8679988016079,Tave pjekje bakri me korent
8679988033571,Tenxhere salce amercook 18 cm
8697004822077,Tenxhere presioni 0.9 lt
8680465009408,Tenxhere me kapak xhami Hascevher Germanitium 28&#215;12 cm
8679988033595,Tenxhere amercook 24 cm
5470112110570,Kaisa hoff set tenxheresh 7 cope
8697414822841,"Tenxhere presioni Hascevher Anett 7,0 lt"
8680465011326,Tenxhere Hascevher Anett 20&#215;10 cm
2000000183244,Mbajtese tenxheresh silikon
8015506037773,Tenxhere Granit
8680465060829,Tenxhere me presion karina 5 l
8680465007206,Tenxhere Hascevher Anett 22&#215;12  cm
8697004822046,Tenxhere presioni 7 lt
6955595066655,Life vouge gota 12 cope
8692952043987,Gota me fron nevakar
8692952005695,Gota me fron nevakar 6 cope
8692952043505,Gota me fron misket
8692952073984,Set gota wiski 6 cope
8679988025064,Gota rakije 6 cope
6220790066718,Set gota rakije 6 cope
1070980411454,Gota uji set
1070980412314,Set gotash 6 cope
6955728121466,Bormio set gotash 6 cope
8692952065415,Set gota uji 6 cope
8679988018851,Garbo gota uji te thjeshta 6 cope
8076809542005,Barilla biscotti primizie 700 gr
8076809571999,Barilla nascondini 600 gr
8076809573757,Barilla cioccograno 330gr
8076809572972,Mulino bianco spicchi di sole gr.400
8076809573252,Mulino Bianco baiocchi nocc/cacao gr.260
8076809572828,Mulino bianco 350gr
8076809572873,Mulino bianco galletti 350gr
8076809574082,Mulino bianco abbracci 350gr
8076809569484,Barilla nascondini 330gr
PNGJYRA999,Peshqir me ngjyra 100*150
PTRUPI799,Peshqir trupi me ngjyra 70*140
5304000177713,Ama nespresso intenso 10 capsule
5304000177744,Ama nespresso deccafeinato 10 capsule
5304000177720,Ama nespresso soprano 10 capsule
5304000177256,Ama cacao 10 capsule
5304000177317,Ama decaff 10 capsule
5304000177294,Ama premium 10 capsule
5304000177300,Ama intenso 10 capsule
PTRUPI670,Peshqir trupi me ngjyra 70*140
PTRUPI619,Peshqir trupi I bardhe 70*140
PTRUPI449,Peshqir trupi me ngjyra 70*140
PDUARSH399,Peshqir duarsh 50*90
8012672000709,Ellebiuno fruttarelli assortiti 400 ml
8012672003601,Ellebiuno multifrutti akullore x10
8006476015014,Sandwich akullore
8006476010002,Super magic bianco akullore 120 gr
8005840003053,Biscotto 5 stelle akullore
8006476000034,Pinguin akullore
8006476005077,Mini cone akullore
8006476005060,Mini cono pan akullore
PDUARSH319,Peshqir duarsh i bardhe 50*90
PKEMBESH279,Peshqir I bardhe per kembe
PNGJYRA149,Peshqir me ngjyra 30*50
PKUZHINE75,Peshqir kuzhine 30*50
5306000016443,Emagel merluce 1 kg
5306000016412,Emagel antipastiere 500 gr
8011386821068,Mage minestrone 1 kg
5304000219581,Emagel karkaleca 450 gr
8011386824069,Mage minestrone 450 gr
5306000016498,Emagel kotolete me proshute 1 kg
5304000219727,Pita greke 10 cope
8011386824342,Bizele mage 450 gr
3900864530392,Koral pomfrite 1000 gr
5306000016481,Kotolete pule Emagel 1 kg
3599741001263,Bizele findus 400 gr
5304000021245,Peta per byrek 450 gr
5304000077587,Arani qofte 10 cope 300 gr
5304000077495,Arani mish i grire 200 gr
5300000120292,Tona kernacke korce 500 gr
7613036867436,Nescafe dolce gusto
7613033112942,Nescafe dolce gusto buondi 16 cope
8000070086029,Lavazza capsule intenso 16 cope
8000070086005,Lavazza capsule passionale 16 cope
8000070088436,Lavazza capsule rossa 16 cope
8000070086036,Lavazza capsule dek cremoso 16 cope
8000070086012,Lavazza capsule delizioso 16 cope
8000070003545,Lavazza capsule oro 12 cope
5201347169404,Veet per kembet jeshil
5201347169428,Veet krem me fara rrushi
8002990840125,Veet depilues fytyre me qiri 20 cope
8002340009363,Sterp strisce 12 cope
8002340009301,Sterp Crema depil doppiouso 200ml
8002340013391,Sterp Sugaring Strisce Viso 20+4pz
8002340011809,Sterp argan body crema 100 ml
8680164446955,Ostwint depilator spray 150 ml
53656221726,Dyll depelimi me kokrriza
8681065801225,Dyll depelimi
3086123194052,Bic twin lady 8+4
3086123262270,Bic miss soleil b3
3086123399471,Bic miss soleil cc
8002680502050,Dietor Embelsues kuti  200 g
8013399153167,Dietor embelsues 40 bustina
8002680511250,Dietor 120 kokrra 6 g
8032605211408,Italia zuccheri bio grezzo 500 gr
8000121917067,Sheqer bio 500 gr
8009004908901,Alce Nero qumesht soje 500 ml
8004030830233,Rio mare insalatissime bio
8009113020501,Desantis vaj ulliri ekstra i virgjer biologico 750 ml
8076809574150,Barilla bio basilico 200 gr
8005650668053,Bio cous cous di 4 cereali
8006280520018,Bio select qiqra 400 gr
8006280500027,Bio select thjerreza te kuqe 400 gr
8076809570626,Barilla bio penne rigate 500 gr
8076809575140,Barilla fusilli di lenticchie rosse 250 gr
8076809575133,Barilla penne di lenticchie rosse 250 gr
8032804431317,Biori penne tortiglioni 250 gr
8032804431300,Biori penne rigate 250 gr
8009004809628,Alce Nero rigatoni 500 gr
8000139910845,Garofalo penne integrale 500 gr
8000139910623,Garofalo spaghetti integrale 500 gr
8007290000170,Granoro integrale farfalle 500 gr
8008912525033,Liguori spaghetti integrale 500 gr
8008912525422,Liguori penne integrale 500 gr
8008912525316,Liguori fusili integrale 500 gr
8017596069443,Dolciando bianco
5901588017945,Wedel luleshtrydhe dark 100 gr
5901588016320,Wedel coko boronice dhe luleshtrydhe 100 gr
5901588016443,Wedel coko luleshtrydhe 100 gr
5901588016436,Wedel toffe 100 gr
5901588016498,Wedel manaferr 100 gr
4014400400007,Toffie 125 gr
7614500010617,Tableron dark 100 gr
4014400901405,Mersi cokollate blu 250 gr
4014400901412,Merci cokollate e zeze
4014400901191,Merci 250 gr
7614500010013,Toblerone 100 gr
8000500003787,Ferrero rocher 200 gr
8000500264850,Nutella be ready 44 gr
8013355998702,Gocciole extra dark 400 gr
8410376040425,Gullon cereale frutta di fibra 300 gr
8076809540124,Gran cereale 250 gr
8013355999488,Ringo kakao 150 gr
8013355999501,Ringo vaniglia 150 gr
5304000223243,Mare choco cream strawberry 140 gr
5304000223250,Mare choco cream portokall 140 gr
5304000223038,Mare choco cream vanilje 140 gr
8001585001040,Balconi max 350 gr
8001585001088,Balconi choco orange 350 gr
8001585001354,Balconi mix max 350 gr
8001585001071,Balconi mix milk 350 gr
8005380030014,Boundolce 10 cope 250 gr
8005380030038,Boundolce strawberry &amp; yogurt 10 cope 250 gr
5201261003082,Amstel 330 ml
5201261003020,Amstel 500 ml
8600101639301,Pardon cibuk 40 gr
8690526010106,Cibuk me speca Eti 40 gr
8690526010120,Cibuk me djathe Eti 40 gr
8690526074528,Cibuk me susam Eti 40 gr
8690526010113,Cibuk me ereza eti 40 gr
5201024964186,Lays wavy barbecue 95 gr
5201024963080,Lays ketchup 95 gr
5201024972174,Lays barbecue 95 gr
5201024972136,Lays cheese 95 gr
5201024970156,Lays rigon 95 gr
5201024972150,Lays tzatziki 95 gr
5201024971214,Lays salt 95 gr
7622300379391,Patos rolls 42 gr
59945376,Nescafe 3IN1 strong 17 gr
7613035853669,Nescafe Azera Espresso 100 gr
5201219046109,Nescafe classic pluhur 100 gr
5201219046055,Nescafe classic pluhur 50 gr
5301000288821,Diva dezifektant 750 ml
5301000288609,Diva lares pllakash 1 l
3858890178241,Maggi supe zogu 50 gr
8585002419538,Maggi koncentrat vici 120 gr
8585002419477,Maggi koncentrat pule 80 gr
7616100469147,Maggi koncentrat vici 60 gr
7616100474141,Maggi pule 60 gr
8015100571833,Dixan classico 100 larje 6 kg
8015100571826,Dixan 85 larje 5.1 kg
8015100571772,Dixan 50 larje 3 kg
8015100571208,Dixan liquid color 27 larje
8015100571130,Dixan liquid classic 27 larje
8015100571505,"Dixan liquid color 19 larje, 950 ml"
8015100571482,"Dixan liquid classic 19 larje, 950 ml"
9000101328189,Perwoll color 3.6 l
9000101328141,Perwoll black 3.6 l
9000101327380,Perwoll color magic 1.8 l
9000101327014,Perwoll black magic 1.8 l
9000101327786,Perwoll balsam magic 1.8 l
9000101326482,Perwoll gold care&amp;repair 900 ml
9000101326765,Perwoll color magic 900 ml
9000101326604,Perwoll black 900 ml
9000101327465,Perwoll balsam magic 900 ml
5301000288722,GEL DISINFETTANTE MANI 500ML
5301000288579,GEL DISINFETTANTE MANI 150 ML
5301000288586,GEL DISINFETTANTE MANI 100ML
8002015000442,Meglio Sgrassatore Marsiglia 750 ml
8002015003467,Meglio Sgrasatore per tutti 750ml
8002015008325,Meglio  Sgrasatore Orange 750ml
8002015003016,Meglio Sgrassatore Lavanda 750ml
8008970046082,Wash&amp;Go shampo Dry Aloe 200ml
8008970044255,Wash&amp;Go maschera repair 300 ml
8008970045184,Wash&amp;Go herbal 750 ml
8008970042299,Wash&amp;Go shampo Aloe Vera 750 ml
8008970042251,Wash&amp;Go shampo per meshkuj 400 ml
8008970042237,Wash&amp;Go shampo normal 400 ml
8008970042152,Wash&amp;Go shampo Aloe 400ml
9000100854795,Syoss balsam keratin 500 ml
9000101057652,Syoss balsam plex 500 ml
9000100526326,Syoss balsam color contidioner 500 ml
9000101229110,Syoss balsam pure smooth 500 ml
9000101206760,Syoss balsam 500 ml
5201143149259,Syoss color protect 750 ml
8690536825165,MOLPET DOPIO ULTRA
8690536843244,MOLPED PURE&amp;SOFT NORMAL 8*24
5201263006395,EVERYDAY MAXI NIGHT 24COPE
5201263006197,EVERYDAY SENSITVE FRESH DITORE 10COPE
5201263006012,EVERYDAY FRESH DITORE 10COPE
5201263010903,EVERYDAY EXTRA DRY NORMAL DITORE 20COPE
4015400006770,ALWAYS DUO NORMAL 10X20 VP
4015400612469,ALWAYS DUO NIGHT
5997253515991,ALWAYS NORMAL 16X10 SP
8001090445032,ALWAYS NIGHT 6SP PLAT
7702018956661,GILLETE BLUE MAXB4
7702018866984,GILLETE FUSION REZERVE 4COPE
7702018085514,GILLETE FUSION PROGLIDE X4
7702018076161,GILLETTE BLUE 3 6COPE
7702018076130,GILLETTE BLUE3 3COPE
3014260287030,GILLETTE 2  5COPE
3014260283254,GILLETTE BLUE SENS 5COPE
3014260227081,GILLETTE SERIES  PROTECTION 250ML
3014260228774,GILLETTE  SENSITIVE SKIN FOAM  200ML
3014260228743,GILLETTE NORMAL CILTLER FOAM 200ML
3838824258553,TAFT GEL V12 POWER 150ML
9000101206081,TAFT GEL SHARK 150ML
3838824137643,TAFT GEL TITAN EXTREME 150ML
40152257,TAFT  DYLL CREATIVE  75ML
46103291,Winston x style silv
42138082,Winston blue era 2
40329918,Winston 10 s blue er
40669205,Rothmans leggera cigare 20cope
5304000280130,Philip morris compac 6m
5304000011758,Cigare philip morris quantum cigare 20cope
5304000280116,Philip morris compac 4m
5304000011000,Merit cigare 20cope
5304000180669,Marlboro premium black
5304000011994,Marlboro red cigare 20cope
5304000011888,Marlboro gold cigare 20cope
5304000011598,Marlboro flavor plus cigare 20cope
5304000180768,Marlboro touch xl cigare 20cp
5304000180621,Marlboro touch cigare 6 20cope
5304000180645,Marlboro touch 4 cigare 20cope
59067580,Lucy double wild 20 cope
59064930,Lucky strike
59056362,Lucky stike cigare 20cope slims
59463603,Kent nanotech infina cigare 20cope
52013454,Karelia slims cigare 20cope
5304000280253,Heets silver label
5304000280093,Heets amber label
3800001105707,Eva slims yellow
40329055,Camel filters era 2
9000100920117,TAFT CREMA CARBON FORCE 130ML
8710447484395,AXE DEO SPRAY GOLD 150ML
5201314107279,STR8 DEO FRESH RECHAR 150ML
5201314107330,STR8 DEO INVISIBLE FORCE 150ML
5201314107224,STR8 DEO FRAG RISE 150ML
3900269600713,Ajke qumeshti me speca 560 gr
5208069000329,Vitam gjalpe 1 kg
5202178062230,Olympus djathe me feta orgjinal 400 gr
5301000260049,Djath‰ i bardh‰ Gjirofarm 1 kg
5301000260056,Djath‰ i bardh‰ Gjirofarm 360 gr
8001420003666,Blond Risotti 1 kg
8001420001624,Gallo oriz 1 kg
8718114721019,Calve Gjalp Kikiriku crocante 350 ml
8714800036825,B52 pije energjike 250 ml
8009004811386,Alce nero cokokrem 180gr
8007185019034,Everton zucchero di canna bio
8007290434456,Granoro polpa di pomodoro bio gr.400
5099873089798,Jack daniel 700ml
8001110016303,Disaronno 700ml
5000289925433,Gordons dry gin 1 l
7312040017683,Vodka absolut 700ml
5304000120054,Raki me arra 500ml
5010677925006,Martini bianco 1lt
5300000021018,Kantina skenderbeu brandy 700ml
5304000347109,Leter alumini 30m
5304000347093,Leter alumini 20m
5201314941118,Fino leter alumini 10 m
8594059389688,Leter alumini prima
4066600611981,Paulaner  hefe  birre shishe 500ml
52100024,Heineken birre 330ml
4066600611363,Birre paulaner origjinal 0.33l
5942045112025,Tuborg shishe 330ml
80067955,Peroni shishe 0.33 cl
40518473,Beer gerstel non-acoholic 0.5l
5301000172540,Elbar birre can 500ml
3903253650107,Peja birre canace 500ml
3903253650015,Peja  birre shishe 330ml
8010997100012,San paolo caffe 1kg
8000070038769,Lavazza crema e gusto 250gr
8010997000015,San paolo caffe 250gr
8028696001905,Migro kafe expres 250 gr
5304000177096,Ama kafe turke 100 gr
5304000034092,Lori caffe jeshile  100 gr
5304000034085,Lori caffe  blu 100gr
5000394077164,Duracell basic aaa bateri
8594183391731,Tesla blue + zinc carbon bateri aaa4ks
8695876202119,Peyman arra 110gr
8695876070305,Peyman me lajthi 110gr*12
8695876090105,Peyman bajame 35gr
5304000241001,Alegria hurma arabie 150gr
5201044008303,Kikirik elka
3185370657218,Dom perignon blanc 2008 0.75l*lpz 12.5%
8032825450083,Amarone valpolicella 750 ml
8004300012826,La cacciatora barolo 750ml
8058341930359,Terre fanova-resirva-alc primitiv 0.7l
8058341930298,Terre fanova primitivo 0.75l
8058341930014,Terre rosso puglia 750ml
8058341930021,Terre bianco puglia 750ml
5310008007129,Tga za jug vere e kuqe 750ml
3904143740663,Vranac vere e kuqe 3 lt
3263286328993,Jp chenet merlot 750ml
3263286301323,Jp chenet cabernet syrah 750ml
8004300116548,Caldirola vino montepulciano 0.75 l
3904143740281,Bodrumi i vjeter riesling italian 3lt
80317623,Ambassador spumante 750ml
3904143740601,Bodrumi i vjeter vere vranac 750ml
3904143740618,Bodrumi i vjeter riesling italian 750ml
8022813000116,Leng i zi kallamari per makarona 8 gr
8001665128698,Rana ravioli funghi porcini 250 gr
8001665700016,Rana tortelloni prosciutto e mozzarella 250 gr
8001665128728,Rana tortelloni pesto di basilico e pinoli 250 gr
8001195164104,Tortellini carne Nonna Teresa 250 gr
8007780105088,Baza per pica 420 gr
8007780000109,Pite piadina romagnola 250 gr
80639749,Afumicata panceta a cubetti 70 gr
8028257011831,Negroni mortadella primula 500 gr
8028257000378,Milano sallam 250 gr
8028257000354,Negroni cacciatore 150 gr
8018347000630,Sallam Madeo snack dolce 100 gr
8018347000647,Sallam Madeo snack piccante 100 gr
8028257005199,Negroni sallam milano me feta 80 gr
8018347007257,FUNDE SALLAMI MADEO 300GR
8012584001252,Wurstel Del Campo pule 250 gr
8012584001016,Del Campo pule 100 gr
8003518101940,Djathe Grana Padano 250 gr
8001590640258,FRESCO PHILADELPHIA DJATHE I BUTE 250GR
8028257008763,Negroni antipasto di salame 120 gr
8003518100141,Fresco pecorino romano 200 gr
7622210138057,Djath sottilette original 285 gr
8002339012220,Inalpi gjalpe 250 gr
8003518103074,Grana Padano 150 gr
8003518102107,Provolone valapadana 200 gr
8003518103913,Oro del maso sotovuotto
8003518103104,Djathe Asiago 200 gr
8000300376425,Djathe Nestle formaggino mio 125 gr
8003518100219,Djathe i ngrire Grana Padano 100 gr
8003518101285,Parmigiano reggiano i grire 70 gr
8000430240108,Galbani belpaese formaggini
8002339500604,Inalpi formaggini 140 gr
8002339392674,Inalpi djathe me feta klasik 175 gr
4006402010100,Bergarder djath pikant 100 gr
8002339020126,Inalpi qumesht pluhur piemontese intero 300 gr
8002339020232,Inalpi qumesht pluhur piemontese scremato 300 gr
8020537309102,Bayerland qumesht per kafe 10&#215;10 gr
5203917200036,Elka bombul gazi 190 gr
8007290571403,GRANORO PASSATA DI POMODORO 690GR
8022780000676,CONDIMENTO DI VERDURE PER INSALATA
10142,PROSCIUTTO LEONARDI PARMA PRESSATO ME KG
8003640011001,SOFT LAVANDA 6.3KG
80358596,TUSCE MAIONESE 500ML
9003579302149,Pedigree vital me mish pule dhe oriz 500gr
9003579302552,Pedigree markies 150gr
9003579302545,Pedigree biscrok per qen 200gr
5900951262531,Pedigree ushqim per qen 100gr
5900951017247,Pedigree junior me mish pule 100gr
8007520099691,Migliorcane prof pesce/carne 1.25kg
8007520099646,Migliorcane prof manzo 1.25
8007520099639,Migliorcane pollo/tacchino 125gr
8007520011105,Miglior cane pollo tacchino 400gr
8007520098908,Migliorcane vitello pate 400gr
8007520098878,Migliorcane prof pollo/tacchino 400gr
8007520099684,Migliorcane prof carne/pesce/cereali 405gr
8007520099509,Migliorcane prof agnello riso 405gr
